Capacity;Nb of vehicles;Distance;Average nb of deliveries per vehicles;Average distance per delivery
   5.00000;  46.00000; 655.20000;   4.36957;   3.26000
  10.00000;  26.00000; 434.50000;   7.73077;   2.16000
  15.00000;  15.00000; 265.60000;  13.40000;   1.32000
  20.00000;  12.00000; 208.30000;  16.75000;   1.04000
  25.00000;10; 299.90000;  13.40000;   1.49000
  30.00000;   8.00000; 174.90000;  25.12500;   0.87000
  35.00000;   7.00000; 156.30000;  28.71429;   0.78000
  40.00000;   6.00000; 152.80000;  33.50000;   0.76000
  45.00000;   6.00000; 156.80000;  33.50000;   0.78000
  50.00000;   5.00000; 138.00000;  40.20000;   0.69000
  55.00000;   5.00000; 134.80000;  40.20000;   0.67000
  60.00000;   4.00000; 128.10000;  50.25000;   0.64000
  65.00000;   4.00000; 124.90000;  50.25000;   0.62000
  70.00000;   3.00000; 121.70000;  67.00000;   0.61000
  75.00000;   4.00000; 120.30000;  50.25000;   0.60000
  80.00000;   3.00000; 114.50000;  67.00000;   0.57000
  85.00000;   3.00000; 123.70000;  67.00000;   0.62000
  90.00000;   3.00000; 108.30000;  67.00000;   0.54000
  95.00000;   3.00000; 128.90000;  67.00000;   0.64000
 100.00000;   3.00000; 105.70000;  67.00000;   0.53000
