Capacity;Nb of vehicles;Distance;Average number of deliveries per vehicles;Average distance per delivery
5;51;719;3.94118;3.58
10;31;477.4;6.48387;2.38
15;15;263.4;13.4;1.31
20;12;208.1;16.75;1.04
25;24;383.4;8.375;1.91
30;8;176.7;25.125;0.88
35;7;156.7;28.71429;0.78
40;6;152.3;33.5;0.76
45;6;156.8;33.5;0.78
50;6;137.9;33.5;0.69
55;5;145.1;40.2;0.72
60;4;128.7;50.25;0.64
65;4;123.3;50.25;0.61
70;3;121.3;67;0.6
75;4;120.1;50.25;0.6
80;3;114.6;67;0.57
85;5;142;40.2;0.71
90;3;107.7;67;0.54
95;3;129.4;67;0.64
100;3;104.8;67;0.52
